Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.006382588622746857
Test RMSE 2: ,0.004705786688911442
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.0042561],2.30704057977e-05,[ 183.48312378]
[ 0.00420113],0.00605928359101,[ 0.30666208]
[ 0.00424721],0.000526048472415,[ 7.07379246]
[ 0.00418833],0.00579319832687,[ 0.27702585]
[ 0.00393529],0.021593156456,[ 0.81775296]
[ 0.00722945],0.0183179529523,[ 0.60533524]
[ 0.00375823],0.0156300982987,[ 0.75955194]
[ 0.00716114],0.00621843975167,[ 0.15159775]
[ 0.00686809],0.00272544791403,[ 1.51998663]
[ 0.0061208],0.00395348590353,[ 0.54820365]
[ 0.00678651],0.00794647961128,[ 0.14597242]
