dates,adj_open,adj_close,volume,price_m_ave_50,price_m_ave_100,volume_m_ave_50,relative_change,positive_sentiment,negative_sentiment,uncertainty_sentiment,news_volume
2016-03-18,103.293303678,102.885336897,44205171.0,95.2787371267,102.855115837,45821879.64,0.00113421550092,0,0,0,0
2016-03-21,102.895050392,102.875623402,35502678.0,95.4725487922,102.774865007,45513568.61,-9.44108761555e-05,0,0,0,0
2016-03-22,102.234532746,103.662416481,32444375.0,95.6722416027,102.709504794,45139168.36,0.00764800302152,0,0,0,0
2016-03-23,103.429292606,103.089320288,25703495.0,95.8301354207,102.593006667,44540689.79,-0.00552848575719,0,0,0,0
2016-03-24,102.448229631,102.642499527,26132955.0,95.9514609714,102.459918985,44289746.0,-0.00433430698197,0,0,0,0
2016-03-28,102.963044855,102.176251777,19411372.0,96.1131216091,102.332077547,43990207.18,-0.00454244345606,0,0,0,0
2016-03-29,101.884846933,104.594911981,31190083.0,96.2819975172,102.212260914,43980075.34,0.0236714516589,0,0,0,0
2016-03-30,105.537120977,106.421049003,45601149.0,96.5335780727,102.097333688,43980897.07,0.0174591381872,0,0,0,0
2016-03-31,106.57646492,105.8673798,25888449.0,96.7831670416,101.982353238,43790921.06,-0.00520262869654,0,0,0,0
2016-04-01,105.663396409,106.83872928,25873950.0,97.0496710136,101.882473548,43654133.76,0.00917515368376,0,0,0,0
2016-04-04,107.256409556,107.936354192,37356204.0,97.3475957408,101.792217498,43697272.97,0.010273661242,0,0,0,0
2016-04-05,106.372481529,106.663886373,26578652.0,97.521137487,101.693970899,43624345.44,-0.0117890568754,0,0,0,0
2016-04-06,107.071853155,107.780938275,26404077.0,97.7552797588,101.643608469,43297106.9,0.0104726345506,0,0,0,0
2016-04-07,106.7998753,105.430272534,31801870.0,97.9317810804,101.576115963,43162945.89,-0.0218096611392,0,0,0,0
2016-04-08,105.789671841,105.546834472,23581740.0,98.2375655772,101.513557055,43073507.5,0.00110558319512,0,0,0,0
2016-04-11,105.84795281,105.896520284,29407518.0,98.5373973979,101.487150832,42909458.65,0.00331308669247,0,0,0,0
2016-04-12,106.207352118,107.275836545,27232325.0,98.8020158797,101.456808943,42800714.89,0.0130251330031,0,0,0,0
2016-04-13,107.625522358,108.829995713,33257316.0,99.1153014509,101.446694466,42857457.04,0.0144875045274,0,0,0,0
2016-04-14,108.422028932,108.888276682,25473923.0,99.4674324399,101.402381447,42645449.3,0.000535523027435,0,0,0,0
2016-04-15,108.897990177,106.702740352,46938969.0,99.7397187417,101.321817449,42681880.79,-0.0200713648528,0,0,0,0
2016-04-18,105.770244852,104.400642085,60821461.0,99.9510843885,101.213208495,42947224.44,-0.0215748748293,0,0,0,0
2016-04-19,104.789181877,103.846972882,32384879.0,100.201498284,101.114038154,42946247.95,-0.00530331224416,0,0,0,0
2016-04-20,103.584708522,104.060669767,30611030.0,100.436953398,101.006087302,42824326.53,0.00205780563092,0,0,0,0
2016-04-21,103.866399872,102.933904371,31552525.0,100.650261744,100.895081059,42925968.7,-0.0108279660226,0,0,0,0
